PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,Age_Fare,Family_Size,Fare_Per_Person,poly_Age,poly_Fare,poly_Age^2,poly_Age Fare,poly_Fare^2,Age_Group,Age_Group_Code
1,0,3,22.0,1,0,7.25,True,False,True,159.5,2,3.625,22.0,7.25,484.0,159.5,52.5625,Young,1
2,1,1,38.0,1,0,71.2833,False,False,False,2708.7653999999998,2,35.64165,38.0,71.2833,1444.0,2708.7653999999998,5081.30885889,Adult,2
3,1,3,26.0,0,0,7.925,False,False,True,206.04999999999998,1,7.925,26.0,7.925,676.0,206.04999999999998,62.805625,Young,1
4,1,1,35.0,1,0,53.1,False,False,True,1858.5,2,26.55,35.0,53.1,1225.0,1858.5,2819.61,Young,1
5,0,3,35.0,0,0,8.05,True,False,True,281.75,1,8.05,35.0,8.05,1225.0,281.75,64.80250000000001,Young,1
6,0,3,28.0,0,0,8.4583,True,True,False,236.83239999999998,1,8.4583,28.0,8.4583,784.0,236.83239999999998,71.54283888999998,Young,1
7,0,1,54.0,0,0,51.8625,True,False,True,2800.575,1,51.8625,54.0,51.8625,2916.0,2800.575,2689.7189062499997,Adult,2
8,0,3,2.0,3,1,21.075,True,False,True,42.15,5,4.215,2.0,21.075,4.0,42.15,444.155625,Teen,0
9,1,3,27.0,0,2,11.1333,False,False,True,300.5991,3,3.7111,27.0,11.1333,729.0,300.5991,123.95036889000001,Young,1
10,1,2,14.0,1,0,30.0708,False,False,False,420.9912,2,15.0354,14.0,30.0708,196.0,420.9912,904.25301264,Teen,0
11,1,3,4.0,1,1,16.7,False,False,True,66.8,3,5.566666666666666,4.0,16.7,16.0,66.8,278.89,Teen,0
12,1,1,58.0,0,0,26.55,False,False,True,1539.9,1,26.55,58.0,26.55,3364.0,1539.9,704.9025,Adult,2
13,0,3,20.0,0,0,8.05,True,False,True,161.0,1,8.05,20.0,8.05,400.0,161.0,64.80250000000001,Young,1
14,0,3,39.0,1,5,31.275,True,False,True,1219.725,7,4.4678571428571425,39.0,31.275,1521.0,1219.725,978.1256249999999,Adult,2
15,0,3,14.0,0,0,7.8542,False,False,True,109.9588,1,7.8542,14.0,7.8542,196.0,109.9588,61.688457639999996,Teen,0
16,1,2,55.0,0,0,16.0,False,False,True,880.0,1,16.0,55.0,16.0,3025.0,880.0,256.0,Adult,2
17,0,3,2.0,4,1,29.125,True,True,False,58.25,6,4.854166666666667,2.0,29.125,4.0,58.25,848.265625,Teen,0
18,1,2,28.0,0,0,13.0,True,False,True,364.0,1,13.0,28.0,13.0,784.0,364.0,169.0,Young,1
19,0,3,31.0,1,0,18.0,False,False,True,558.0,2,9.0,31.0,18.0,961.0,558.0,324.0,Young,1
20,1,3,28.0,0,0,7.225,False,False,False,202.29999999999998,1,7.225,28.0,7.225,784.0,202.29999999999998,52.200624999999995,Young,1
21,0,2,35.0,0,0,26.0,True,False,True,910.0,1,26.0,35.0,26.0,1225.0,910.0,676.0,Young,1
22,1,2,34.0,0,0,13.0,True,False,True,442.0,1,13.0,34.0,13.0,1156.0,442.0,169.0,Young,1
23,1,3,15.0,0,0,8.0292,False,True,False,120.43799999999999,1,8.0292,15.0,8.0292,225.0,120.43799999999999,64.46805264,Teen,0
24,1,1,28.0,0,0,35.5,True,False,True,994.0,1,35.5,28.0,35.5,784.0,994.0,1260.25,Young,1
25,0,3,8.0,3,1,21.075,False,False,True,168.6,5,4.215,8.0,21.075,64.0,168.6,444.155625,Teen,0
26,1,3,38.0,1,5,31.3875,False,False,True,1192.725,7,4.483928571428572,38.0,31.3875,1444.0,1192.725,985.17515625,Adult,2
27,0,3,28.0,0,0,7.225,True,False,False,202.29999999999998,1,7.225,28.0,7.225,784.0,202.29999999999998,52.200624999999995,Young,1
28,0,1,19.0,3,2,263.0,True,False,True,4997.0,6,43.833333333333336,19.0,263.0,361.0,4997.0,69169.0,Young,1
29,1,3,28.0,0,0,7.8792,False,True,False,220.6176,1,7.8792,28.0,7.8792,784.0,220.6176,62.081792639999996,Young,1
30,0,3,28.0,0,0,7.8958,True,False,True,221.0824,1,7.8958,28.0,7.8958,784.0,221.0824,62.34365764,Young,1
31,0,1,40.0,0,0,27.7208,True,False,False,1108.832,1,27.7208,40.0,27.7208,1600.0,1108.832,768.44275264,Adult,2
32,1,1,28.0,1,0,146.5208,False,False,False,4102.5824,2,73.2604,28.0,146.5208,784.0,4102.5824,21468.344832640003,Young,1
33,1,3,28.0,0,0,7.75,False,True,False,217.0,1,7.75,28.0,7.75,784.0,217.0,60.0625,Young,1
34,0,2,66.0,0,0,10.5,True,False,True,693.0,1,10.5,66.0,10.5,4356.0,693.0,110.25,Senior,3
35,0,1,28.0,1,0,82.1708,True,False,False,2300.7824,2,41.0854,28.0,82.1708,784.0,2300.7824,6752.04037264,Young,1
36,0,1,42.0,1,0,52.0,True,False,True,2184.0,2,26.0,42.0,52.0,1764.0,2184.0,2704.0,Adult,2
37,1,3,28.0,0,0,7.2292,True,False,False,202.4176,1,7.2292,28.0,7.2292,784.0,202.4176,52.26133263999999,Young,1
38,0,3,21.0,0,0,8.05,True,False,True,169.05,1,8.05,21.0,8.05,441.0,169.05,64.80250000000001,Young,1
39,0,3,18.0,2,0,18.0,False,False,True,324.0,3,6.0,18.0,18.0,324.0,324.0,324.0,Teen,0
40,1,3,14.0,1,0,11.2417,False,False,False,157.3838,2,5.62085,14.0,11.2417,196.0,157.3838,126.37581888999999,Teen,0
41,0,3,40.0,1,0,9.475,False,False,True,379.0,2,4.7375,40.0,9.475,1600.0,379.0,89.77562499999999,Adult,2
42,0,2,27.0,1,0,21.0,False,False,True,567.0,2,10.5,27.0,21.0,729.0,567.0,441.0,Young,1
43,0,3,28.0,0,0,7.8958,True,False,False,221.0824,1,7.8958,28.0,7.8958,784.0,221.0824,62.34365764,Young,1
44,1,2,3.0,1,2,41.5792,False,False,False,124.7376,4,10.3948,3.0,41.5792,9.0,124.7376,1728.82987264,Teen,0
45,1,3,19.0,0,0,7.8792,False,True,False,149.7048,1,7.8792,19.0,7.8792,361.0,149.7048,62.081792639999996,Young,1
46,0,3,28.0,0,0,8.05,True,False,True,225.40000000000003,1,8.05,28.0,8.05,784.0,225.40000000000003,64.80250000000001,Young,1
47,0,3,28.0,1,0,15.5,True,True,False,434.0,2,7.75,28.0,15.5,784.0,434.0,240.25,Young,1
48,1,3,28.0,0,0,7.75,False,True,False,217.0,1,7.75,28.0,7.75,784.0,217.0,60.0625,Young,1
49,0,3,28.0,2,0,21.6792,True,False,False,607.0176,3,7.226400000000001,28.0,21.6792,784.0,607.0176,469.98771264000004,Young,1
50,0,3,18.0,1,0,17.8,False,False,True,320.40000000000003,2,8.9,18.0,17.8,324.0,320.40000000000003,316.84000000000003,Teen,0
51,0,3,7.0,4,1,39.6875,True,False,True,277.8125,6,6.614583333333333,7.0,39.6875,49.0,277.8125,1575.09765625,Teen,0
52,0,3,21.0,0,0,7.8,True,False,True,163.79999999999998,1,7.8,21.0,7.8,441.0,163.79999999999998,60.839999999999996,Young,1
53,1,1,49.0,1,0,76.7292,False,False,False,3759.7308000000003,2,38.3646,49.0,76.7292,2401.0,3759.7308000000003,5887.3701326400005,Adult,2
54,1,2,29.0,1,0,26.0,False,False,True,754.0,2,13.0,29.0,26.0,841.0,754.0,676.0,Young,1
55,0,1,65.0,0,1,61.9792,True,False,False,4028.648,2,30.9896,65.0,61.9792,4225.0,4028.648,3841.4212326399997,Senior,3
56,1,1,28.0,0,0,35.5,True,False,True,994.0,1,35.5,28.0,35.5,784.0,994.0,1260.25,Young,1
57,1,2,21.0,0,0,10.5,False,False,True,220.5,1,10.5,21.0,10.5,441.0,220.5,110.25,Young,1
58,0,3,28.5,0,0,7.2292,True,False,False,206.0322,1,7.2292,28.5,7.2292,812.25,206.0322,52.26133263999999,Young,1
59,1,2,5.0,1,2,27.75,False,False,True,138.75,4,6.9375,5.0,27.75,25.0,138.75,770.0625,Teen,0
60,0,3,11.0,5,2,46.9,True,False,True,515.9,8,5.8625,11.0,46.9,121.0,515.9,2199.6099999999997,Teen,0
61,0,3,22.0,0,0,7.2292,True,False,False,159.0424,1,7.2292,22.0,7.2292,484.0,159.0424,52.26133263999999,Young,1
62,1,1,38.0,0,0,80.0,False,False,True,3040.0,1,80.0,38.0,80.0,1444.0,3040.0,6400.0,Adult,2
63,0,1,45.0,1,0,83.475,True,False,True,3756.3749999999995,2,41.7375,45.0,83.475,2025.0,3756.3749999999995,6968.0756249999995,Adult,2
64,0,3,4.0,3,2,27.9,True,False,True,111.6,6,4.6499999999999995,4.0,27.9,16.0,111.6,778.41,Teen,0
65,0,1,28.0,0,0,27.7208,True,False,False,776.1824,1,27.7208,28.0,27.7208,784.0,776.1824,768.44275264,Young,1
66,1,3,28.0,1,1,15.2458,True,False,False,426.88239999999996,3,5.081933333333333,28.0,15.2458,784.0,426.88239999999996,232.43441763999996,Young,1
67,1,2,29.0,0,0,10.5,False,False,True,304.5,1,10.5,29.0,10.5,841.0,304.5,110.25,Young,1
68,0,3,19.0,0,0,8.1583,True,False,True,155.0077,1,8.1583,19.0,8.1583,361.0,155.0077,66.55785889,Young,1
69,1,3,17.0,4,2,7.925,False,False,True,134.725,7,1.1321428571428571,17.0,7.925,289.0,134.725,62.805625,Teen,0
70,0,3,26.0,2,0,8.6625,True,False,True,225.225,3,2.8874999999999997,26.0,8.6625,676.0,225.225,75.03890625,Young,1
71,0,2,32.0,0,0,10.5,True,False,True,336.0,1,10.5,32.0,10.5,1024.0,336.0,110.25,Young,1
72,0,3,16.0,5,2,46.9,False,False,True,750.4,8,5.8625,16.0,46.9,256.0,750.4,2199.6099999999997,Teen,0
73,0,2,21.0,0,0,73.5,True,False,True,1543.5,1,73.5,21.0,73.5,441.0,1543.5,5402.25,Young,1
74,0,3,26.0,1,0,14.4542,True,False,False,375.80920000000003,2,7.2271,26.0,14.4542,676.0,375.80920000000003,208.92389764,Young,1
75,1,3,32.0,0,0,56.4958,True,False,True,1807.8656,1,56.4958,32.0,56.4958,1024.0,1807.8656,3191.7754176400003,Young,1
76,0,3,25.0,0,0,7.65,True,False,True,191.25,1,7.65,25.0,7.65,625.0,191.25,58.52250000000001,Young,1
77,0,3,28.0,0,0,7.8958,True,False,True,221.0824,1,7.8958,28.0,7.8958,784.0,221.0824,62.34365764,Young,1
78,0,3,28.0,0,0,8.05,True,False,True,225.40000000000003,1,8.05,28.0,8.05,784.0,225.40000000000003,64.80250000000001,Young,1
79,1,2,0.83,0,2,29.0,True,False,True,24.07,3,9.666666666666666,0.83,29.0,0.6889,24.07,841.0,Teen,0
80,1,3,30.0,0,0,12.475,False,False,True,374.25,1,12.475,30.0,12.475,900.0,374.25,155.62562499999999,Young,1
81,0,3,22.0,0,0,9.0,True,False,True,198.0,1,9.0,22.0,9.0,484.0,198.0,81.0,Young,1
82,1,3,29.0,0,0,9.5,True,False,True,275.5,1,9.5,29.0,9.5,841.0,275.5,90.25,Young,1
83,1,3,28.0,0,0,7.7875,False,True,False,218.04999999999998,1,7.7875,28.0,7.7875,784.0,218.04999999999998,60.64515624999999,Young,1
84,0,1,28.0,0,0,47.1,True,False,True,1318.8,1,47.1,28.0,47.1,784.0,1318.8,2218.4100000000003,Young,1
85,1,2,17.0,0,0,10.5,False,False,True,178.5,1,10.5,17.0,10.5,289.0,178.5,110.25,Teen,0
86,1,3,33.0,3,0,15.85,False,False,True,523.05,4,3.9625,33.0,15.85,1089.0,523.05,251.2225,Young,1
87,0,3,16.0,1,3,34.375,True,False,True,550.0,5,6.875,16.0,34.375,256.0,550.0,1181.640625,Teen,0
88,0,3,28.0,0,0,8.05,True,False,True,225.40000000000003,1,8.05,28.0,8.05,784.0,225.40000000000003,64.80250000000001,Young,1
89,1,1,23.0,3,2,263.0,False,False,True,6049.0,6,43.833333333333336,23.0,263.0,529.0,6049.0,69169.0,Young,1
90,0,3,24.0,0,0,8.05,True,False,True,193.20000000000002,1,8.05,24.0,8.05,576.0,193.20000000000002,64.80250000000001,Young,1
91,0,3,29.0,0,0,8.05,True,False,True,233.45000000000002,1,8.05,29.0,8.05,841.0,233.45000000000002,64.80250000000001,Young,1
92,0,3,20.0,0,0,7.8542,True,False,True,157.084,1,7.8542,20.0,7.8542,400.0,157.084,61.688457639999996,Young,1
93,0,1,46.0,1,0,61.175,True,False,True,2814.0499999999997,2,30.5875,46.0,61.175,2116.0,2814.0499999999997,3742.380625,Adult,2
94,0,3,26.0,1,2,20.575,True,False,True,534.9499999999999,4,5.14375,26.0,20.575,676.0,534.9499999999999,423.330625,Young,1
95,0,3,59.0,0,0,7.25,True,False,True,427.75,1,7.25,59.0,7.25,3481.0,427.75,52.5625,Adult,2
96,0,3,28.0,0,0,8.05,True,False,True,225.40000000000003,1,8.05,28.0,8.05,784.0,225.40000000000003,64.80250000000001,Young,1
97,0,1,71.0,0,0,34.6542,True,False,False,2460.4482000000003,1,34.6542,71.0,34.6542,5041.0,2460.4482000000003,1200.9135776400003,Senior,3
98,1,1,23.0,0,1,63.3583,True,False,False,1457.2409,2,31.67915,23.0,63.3583,529.0,1457.2409,4014.27417889,Young,1
99,1,2,34.0,0,1,23.0,False,False,True,782.0,2,11.5,34.0,23.0,1156.0,782.0,529.0,Young,1
100,0,2,34.0,1,0,26.0,True,False,True,884.0,2,13.0,34.0,26.0,1156.0,884.0,676.0,Young,1
101,0,3,28.0,0,0,7.8958,False,False,True,221.0824,1,7.8958,28.0,7.8958,784.0,221.0824,62.34365764,Young,1
102,0,3,28.0,0,0,7.8958,True,False,True,221.0824,1,7.8958,28.0,7.8958,784.0,221.0824,62.34365764,Young,1
103,0,1,21.0,0,1,77.2875,True,False,True,1623.0375,2,38.64375,21.0,77.2875,441.0,1623.0375,5973.357656249999,Young,1
104,0,3,33.0,0,0,8.6542,True,False,True,285.5886,1,8.6542,33.0,8.6542,1089.0,285.5886,74.89517763999999,Young,1
105,0,3,37.0,2,0,7.925,True,False,True,293.22499999999997,3,2.6416666666666666,37.0,7.925,1369.0,293.22499999999997,62.805625,Adult,2
106,0,3,28.0,0,0,7.8958,True,False,True,221.0824,1,7.8958,28.0,7.8958,784.0,221.0824,62.34365764,Young,1
107,1,3,21.0,0,0,7.65,False,False,True,160.65,1,7.65,21.0,7.65,441.0,160.65,58.52250000000001,Young,1
108,1,3,28.0,0,0,7.775,True,False,True,217.70000000000002,1,7.775,28.0,7.775,784.0,217.70000000000002,60.450625,Young,1
109,0,3,38.0,0,0,7.8958,True,False,True,300.04040000000003,1,7.8958,38.0,7.8958,1444.0,300.04040000000003,62.34365764,Adult,2
110,1,3,28.0,1,0,24.15,False,True,False,676.1999999999999,2,12.075,28.0,24.15,784.0,676.1999999999999,583.2225,Young,1
111,0,1,47.0,0,0,52.0,True,False,True,2444.0,1,52.0,47.0,52.0,2209.0,2444.0,2704.0,Adult,2
112,0,3,14.5,1,0,14.4542,False,False,False,209.5859,2,7.2271,14.5,14.4542,210.25,209.5859,208.92389764,Teen,0
113,0,3,22.0,0,0,8.05,True,False,True,177.10000000000002,1,8.05,22.0,8.05,484.0,177.10000000000002,64.80250000000001,Young,1
114,0,3,20.0,1,0,9.825,False,False,True,196.5,2,4.9125,20.0,9.825,400.0,196.5,96.53062499999999,Young,1
115,0,3,17.0,0,0,14.4583,False,False,False,245.7911,1,14.4583,17.0,14.4583,289.0,245.7911,209.04243888999997,Teen,0
116,0,3,21.0,0,0,7.925,True,False,True,166.42499999999998,1,7.925,21.0,7.925,441.0,166.42499999999998,62.805625,Young,1
117,0,3,70.5,0,0,7.75,True,True,False,546.375,1,7.75,70.5,7.75,4970.25,546.375,60.0625,Senior,3
118,0,2,29.0,1,0,21.0,True,False,True,609.0,2,10.5,29.0,21.0,841.0,609.0,441.0,Young,1
119,0,1,24.0,0,1,247.5208,True,False,False,5940.4992,2,123.7604,24.0,247.5208,576.0,5940.4992,61266.54643264,Young,1
120,0,3,2.0,4,2,31.275,False,False,True,62.55,7,4.4678571428571425,2.0,31.275,4.0,62.55,978.1256249999999,Teen,0
121,0,2,21.0,2,0,73.5,True,False,True,1543.5,3,24.5,21.0,73.5,441.0,1543.5,5402.25,Young,1
122,0,3,28.0,0,0,8.05,True,False,True,225.40000000000003,1,8.05,28.0,8.05,784.0,225.40000000000003,64.80250000000001,Young,1
123,0,2,32.5,1,0,30.0708,True,False,False,977.3009999999999,2,15.0354,32.5,30.0708,1056.25,977.3009999999999,904.25301264,Young,1
124,1,2,32.5,0,0,13.0,False,False,True,422.5,1,13.0,32.5,13.0,1056.25,422.5,169.0,Young,1
125,0,1,54.0,0,1,77.2875,True,False,True,4173.525,2,38.64375,54.0,77.2875,2916.0,4173.525,5973.357656249999,Adult,2
126,1,3,12.0,1,0,11.2417,True,False,False,134.9004,2,5.62085,12.0,11.2417,144.0,134.9004,126.37581888999999,Teen,0
127,0,3,28.0,0,0,7.75,True,True,False,217.0,1,7.75,28.0,7.75,784.0,217.0,60.0625,Young,1
128,1,3,24.0,0,0,7.1417,True,False,True,171.4008,1,7.1417,24.0,7.1417,576.0,171.4008,51.00387889,Young,1
129,1,3,28.0,1,1,22.3583,False,False,False,626.0324,3,7.452766666666666,28.0,22.3583,784.0,626.0324,499.89357889,Young,1
130,0,3,45.0,0,0,6.975,True,False,True,313.875,1,6.975,45.0,6.975,2025.0,313.875,48.650625,Adult,2
131,0,3,33.0,0,0,7.8958,True,False,False,260.5614,1,7.8958,33.0,7.8958,1089.0,260.5614,62.34365764,Young,1
132,0,3,20.0,0,0,7.05,True,False,True,141.0,1,7.05,20.0,7.05,400.0,141.0,49.7025,Young,1
133,0,3,47.0,1,0,14.5,False,False,True,681.5,2,7.25,47.0,14.5,2209.0,681.5,210.25,Adult,2
134,1,2,29.0,1,0,26.0,False,False,True,754.0,2,13.0,29.0,26.0,841.0,754.0,676.0,Young,1
135,0,2,25.0,0,0,13.0,True,False,True,325.0,1,13.0,25.0,13.0,625.0,325.0,169.0,Young,1
136,0,2,23.0,0,0,15.0458,True,False,False,346.0534,1,15.0458,23.0,15.0458,529.0,346.0534,226.37609763999998,Young,1
137,1,1,19.0,0,2,26.2833,False,False,True,499.3827,3,8.7611,19.0,26.2833,361.0,499.3827,690.81185889,Young,1
138,0,1,37.0,1,0,53.1,True,False,True,1964.7,2,26.55,37.0,53.1,1369.0,1964.7,2819.61,Adult,2
139,0,3,16.0,0,0,9.2167,True,False,True,147.4672,1,9.2167,16.0,9.2167,256.0,147.4672,84.94755889,Teen,0
140,0,1,24.0,0,0,79.2,True,False,False,1900.8000000000002,1,79.2,24.0,79.2,576.0,1900.8000000000002,6272.64,Young,1
141,0,3,28.0,0,2,15.2458,False,False,False,426.88239999999996,3,5.081933333333333,28.0,15.2458,784.0,426.88239999999996,232.43441763999996,Young,1
142,1,3,22.0,0,0,7.75,False,False,True,170.5,1,7.75,22.0,7.75,484.0,170.5,60.0625,Young,1
143,1,3,24.0,1,0,15.85,False,False,True,380.4,2,7.925,24.0,15.85,576.0,380.4,251.2225,Young,1
144,0,3,19.0,0,0,6.75,True,True,False,128.25,1,6.75,19.0,6.75,361.0,128.25,45.5625,Young,1
145,0,2,18.0,0,0,11.5,True,False,True,207.0,1,11.5,18.0,11.5,324.0,207.0,132.25,Teen,0
146,0,2,19.0,1,1,36.75,True,False,True,698.25,3,12.25,19.0,36.75,361.0,698.25,1350.5625,Young,1
147,1,3,27.0,0,0,7.7958,True,False,True,210.4866,1,7.7958,27.0,7.7958,729.0,210.4866,60.77449764,Young,1
148,0,3,9.0,2,2,34.375,False,False,True,309.375,5,6.875,9.0,34.375,81.0,309.375,1181.640625,Teen,0
149,0,2,36.5,0,2,26.0,True,False,True,949.0,3,8.666666666666666,36.5,26.0,1332.25,949.0,676.0,Adult,2
150,0,2,42.0,0,0,13.0,True,False,True,546.0,1,13.0,42.0,13.0,1764.0,546.0,169.0,Adult,2
151,0,2,51.0,0,0,12.525,True,False,True,638.775,1,12.525,51.0,12.525,2601.0,638.775,156.875625,Adult,2
152,1,1,22.0,1,0,66.6,False,False,True,1465.1999999999998,2,33.3,22.0,66.6,484.0,1465.1999999999998,4435.5599999999995,Young,1
153,0,3,55.5,0,0,8.05,True,False,True,446.77500000000003,1,8.05,55.5,8.05,3080.25,446.77500000000003,64.80250000000001,Adult,2
154,0,3,40.5,0,2,14.5,True,False,True,587.25,3,4.833333333333333,40.5,14.5,1640.25,587.25,210.25,Adult,2
155,0,3,28.0,0,0,7.3125,True,False,True,204.75,1,7.3125,28.0,7.3125,784.0,204.75,53.47265625,Young,1
156,0,1,51.0,0,1,61.3792,True,False,False,3130.3392,2,30.6896,51.0,61.3792,2601.0,3130.3392,3767.4061926399995,Adult,2
157,1,3,16.0,0,0,7.7333,False,True,False,123.7328,1,7.7333,16.0,7.7333,256.0,123.7328,59.803928889999995,Teen,0
158,0,3,30.0,0,0,8.05,True,False,True,241.50000000000003,1,8.05,30.0,8.05,900.0,241.50000000000003,64.80250000000001,Young,1
159,0,3,28.0,0,0,8.6625,True,False,True,242.54999999999998,1,8.6625,28.0,8.6625,784.0,242.54999999999998,75.03890625,Young,1
160,0,3,28.0,8,2,69.55,True,False,True,1947.3999999999999,11,6.322727272727272,28.0,69.55,784.0,1947.3999999999999,4837.202499999999,Young,1
161,0,3,44.0,0,1,16.1,True,False,True,708.4000000000001,2,8.05,44.0,16.1,1936.0,708.4000000000001,259.21000000000004,Adult,2
162,1,2,40.0,0,0,15.75,False,False,True,630.0,1,15.75,40.0,15.75,1600.0,630.0,248.0625,Adult,2
163,0,3,26.0,0,0,7.775,True,False,True,202.15,1,7.775,26.0,7.775,676.0,202.15,60.450625,Young,1
164,0,3,17.0,0,0,8.6625,True,False,True,147.2625,1,8.6625,17.0,8.6625,289.0,147.2625,75.03890625,Teen,0
165,0,3,1.0,4,1,39.6875,True,False,True,39.6875,6,6.614583333333333,1.0,39.6875,1.0,39.6875,1575.09765625,Teen,0
166,1,3,9.0,0,2,20.525,True,False,True,184.725,3,6.841666666666666,9.0,20.525,81.0,184.725,421.27562499999993,Teen,0
167,1,1,28.0,0,1,55.0,False,False,True,1540.0,2,27.5,28.0,55.0,784.0,1540.0,3025.0,Young,1
168,0,3,45.0,1,4,27.9,False,False,True,1255.5,6,4.6499999999999995,45.0,27.9,2025.0,1255.5,778.41,Adult,2
169,0,1,28.0,0,0,25.925,True,False,True,725.9,1,25.925,28.0,25.925,784.0,725.9,672.105625,Young,1
170,0,3,28.0,0,0,56.4958,True,False,True,1581.8824,1,56.4958,28.0,56.4958,784.0,1581.8824,3191.7754176400003,Young,1
171,0,1,61.0,0,0,33.5,True,False,True,2043.5,1,33.5,61.0,33.5,3721.0,2043.5,1122.25,Senior,3
172,0,3,4.0,4,1,29.125,True,True,False,116.5,6,4.854166666666667,4.0,29.125,16.0,116.5,848.265625,Teen,0
173,1,3,1.0,1,1,11.1333,False,False,True,11.1333,3,3.7111,1.0,11.1333,1.0,11.1333,123.95036889000001,Teen,0
